职位月薪,工作地点,工作性质,工作经验,最低学历,招聘人数,职位类别,公司规模,公司性质,公司行业
8001-10000元/月,北京,全职,1-3年,大专,5人,数据分析师,100-499人,股份制企业,基金/证券/期货/投资
面议,佛山,全职,不限,本科,2人,市场调研与分析,10000人以上,上市公司,保险
10001-15000元/月,北京,全职,不限,大专,5人,其他,100-499人,股份制企业,基金/证券/期货/投资
8001-10000元/月,北京,全职,1-3年,大专,9人,环境/健康/安全工程师,100-499人,股份制企业,基金/证券/期货/投资
8001-10000元/月,北京,全职,不限,不限,5人,证券分析/金融研究,100-499人,股份制企业,基金/证券/期货/投资
8001-10000元/月,北京,全职,1-3年,本科,6人,证券分析/金融研究,100-499人,股份制企业,基金/证券/期货/投资
6001-8000元/月,南昌-西湖区,全职,不限,硕士,1人,数据分析师,500-999人,民营,教育/培训/院校
8001-10000元/月,北京,全职,不限,大专,5人,股票/期货操盘手,100-499人,股份制企业,基金/证券/期货/投资
8000-15000元/月,广州-番禺区,全职,1-3年,本科,1人,数据分析师,1000-9999人,上市公司,互联网/电子商务
15001-20000元/月,北京,全职,1-3年,本科,1人,系统分析员,500-999人,合资,互联网/电子商务
10001-15000元/月,北京-朝阳区,全职,不限,大专,10人,融资总监,100-499人,合资,基金/证券/期货/投资
8001-10000元/月,南京,全职,不限,大专,1人,股票/期货操盘手,100-499人,股份制企业,基金/证券/期货/投资
8001-10000元/月,北京,全职,不限,本科,5人,证券总监/部门经理,100-499人,合资,基金/证券/期货/投资
15001-20000元/月,北京,全职,3-5年,本科,1人,数据分析师,1000-9999人,上市公司,房地产/建筑/建材/工程
面议,青岛,全职,1-3年,本科,1人,数据分析师,10000人以上,国企,耐用消费品（服饰/纺织/皮革/家具/家电）
10001-15000元/月,北京-海淀区,兼职,不限,大专,5人,项目专员/助理,1000-9999人,合资,基金/证券/期货/投资
8001-10000元/月,北京-朝阳区,全职,不限,不限,1人,网站编辑,100-499人,股份制企业,基金/证券/期货/投资
8001-10000元/月,北京,全职,不限,本科,4人,证券/投资客户总监,100-499人,合资,基金/证券/期货/投资
8001-10000元/月,北京,全职,不限,本科,4人,证券/期货/外汇经纪人,100-499人,合资,基金/证券/期货/投资
1000元/月以下,北京,全职,不限,大专,10人,证券/期货/外汇经纪人,100-499人,合资,基金/证券/期货/投资
10001-15000元/月,北京-朝阳区,全职,不限,大专,10人,证券分析/金融研究,100-499人,合资,基金/证券/期货/投资
10001-15000元/月,广州,全职,不限,本科,1人,数据运营,1000-9999人,上市公司,快速消费品（食品/饮料/烟酒/日化）
6001-8000元/月,南京,全职,不限,大专,2人,证券/期货/外汇经纪人,100-499人,股份制企业,基金/证券/期货/投资
面议,北京,全职,无经验,,若干,其他,10000人以上,外商独资,IT服务(系统/数据/维护)
8001-10000元/月,北京-朝阳区,全职,不限,不限,1人,硬件工程师,100-499人,股份制企业,基金/证券/期货/投资
10001-15000元/月,北京-朝阳区,全职,不限,大专,10人,证券分析/金融研究,100-499人,合资,基金/证券/期货/投资
10001-15000元/月,北京-朝阳区,全职,不限,大专,10人,证券分析/金融研究,100-499人,合资,基金/证券/期货/投资
8001-10000元/月,南京,全职,不限,大专,4人,证券/期货/外汇经纪人,100-499人,股份制企业,基金/证券/期货/投资
8001-10000元/月,北京-朝阳区,全职,1-3年,大专,3人,销售工程师,1000-9999人,合资,基金/证券/期货/投资
8001-10000元/月,北京-朝阳区,全职,不限,大专,10人,股票/期货操盘手,100-499人,合资,基金/证券/期货/投资
4001-6000元/月,南昌,全职,3-5年,本科,1人,数据分析师,500-999人,民营,教育/培训/院校
10001-15000元/月,北京-朝阳区,全职,不限,本科,8人,证券分析/金融研究,100-499人,合资,基金/证券/期货/投资
8001-10000元/月,北京,全职,不限,本科,5人,证券/期货/外汇经纪人,100-499人,合资,基金/证券/期货/投资
4001-6000元/月,北京,全职,不限,大专,4人,证券分析/金融研究,100-499人,股份制企业,基金/证券/期货/投资
8001-10000元/月,北京-朝阳区,全职,不限,本科,6人,投资银行财务分析,100-499人,合资,基金/证券/期货/投资
6001-8000元/月,北京,全职,不限,大专,8人,客户经理,100-499人,股份制企业,基金/证券/期货/投资
10001-15000元/月,北京-朝阳区,全职,不限,本科,10人,证券分析/金融研究,100-499人,合资,基金/证券/期货/投资
8001-10000元/月,北京,全职,1-3年,大专,9人,生产设备管理,100-499人,股份制企业,基金/证券/期货/投资
10001-15000元/月,北京-朝阳区,全职,不限,本科,6人,投资银行业务,100-499人,合资,基金/证券/期货/投资
6000-10000元/月,北京,全职,不限,本科,1人,数据分析师,20人以下,国企,房地产/建筑/建材/工程
8001-10000元/月,北京,全职,1-3年,大专,10人,营运经理,100-499人,股份制企业,基金/证券/期货/投资
8001-10000元/月,石家庄,全职,不限,硕士,1人,数据运营,10000人以上,民营,房地产/建筑/建材/工程
6001-8000元/月,北京-朝阳区,全职,不限,大专,9人,储备经理人,100-499人,股份制企业,基金/证券/期货/投资
